State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
Vic,2018-19 Q1 (Sep Qtr),Total Pathology,88.5%,30.94
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,87.6%,24.51
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,87.0%,25.45
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,87.2%,23.96
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,88.5%,30.09
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,86.9%,25.93
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,90.5%,24.75
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,87.0%,22.47
Qld,2018-19 Q1 (Sep Qtr),Total Pathology,89.3%,20.29
SA,2018-19 Q1 (Sep Qtr),Total Pathology,89.5%,24.45
SA,2018-19 Q1 (Sep Qtr),Total Pathology,88.7%,25.58
SA,2018-19 Q1 (Sep Qtr),Total Pathology,91.7%,20.62
WA,2018-19 Q1 (Sep Qtr),Total Pathology,88.9%,22.31
WA,2018-19 Q1 (Sep Qtr),Total Pathology,88.2%,21.19
WA,2018-19 Q1 (Sep Qtr),Total Pathology,88.1%,24.35
WA,2018-19 Q1 (Sep Qtr),Total Pathology,91.8%,18.85
Tas,2018-19 Q1 (Sep Qtr),Total Pathology,90.9%,30.96
Tas,2018-19 Q1 (Sep Qtr),Total Pathology,90.9%,30.96
NT,2018-19 Q1 (Sep Qtr),Total Pathology,97.5%,35.71
NT,2018-19 Q1 (Sep Qtr),Total Pathology,97.5%,35.71
ACT,2018-19 Q1 (Sep Qtr),Total Pathology,87.4%,18.25
ACT,2018-19 Q1 (Sep Qtr),Total Pathology,87.4%,18.25
Unk,2018-19 Q1 (Sep Qtr),Total Pathology,92.3%,-
Unk,2018-19 Q1 (Sep Qtr),Total Pathology,92.3%,-
Australia,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,78.4%,100.18
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,79.5%,90.99
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,77.7%,105.90
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,61.6%,91.25
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,87.6%,100.67
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,89.4%,87.31
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,90.6%,108.27
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,78.6%,86.42
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,77.3%,55.12
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,77.9%,81.30
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,80.6%,80.77
NSW,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,69.1%,96.42
Vic,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,78.0%,102.62
Vic,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,84.8%,114.93
Vic,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,76.6%,108.45
Vic,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,74.6%,109.33
Vic,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,79.1%,101.19
Vic,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,78.9%,72.75
Vic,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,71.7%,87.34
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,81.8%,97.50
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,78.5%,98.01
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,80.2%,107.15
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,83.7%,97.87
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,79.8%,89.64
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,74.4%,112.02
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,85.1%,81.39
Qld,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,85.0%,99.83
SA,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,75.1%,95.90
SA,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,76.8%,95.88
SA,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,70.9%,95.92
WA,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,71.4%,118.62
WA,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,68.3%,113.32
WA,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,74.5%,120.96
WA,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,71.6%,127.87
Tas,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,74.7%,113.96
Tas,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,74.7%,113.96
NT,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,85.8%,125.97
NT,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,85.8%,125.97
ACT,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,65.0%,115.68
ACT,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,65.0%,115.68
Unk,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,91.7%,119.50
Unk,2018-19 Q1 (Sep Qtr),Diagnostic Imaging,91.7%,119.50
Australia,2018-19 Q1 (Sep Qtr),Total Operations,41.8%,91.79
NSW,2018-19 Q1 (Sep Qtr),Total Operations,45.5%,105.44
NSW,2018-19 Q1 (Sep Qtr),Total Operations,35.8%,113.77
NSW,2018-19 Q1 (Sep Qtr),Total Operations,32.0%,110.54
NSW,2018-19 Q1 (Sep Qtr),Total Operations,48.1%,108.08
NSW,2018-19 Q1 (Sep Qtr),Total Operations,54.0%,127.06
NSW,2018-19 Q1 (Sep Qtr),Total Operations,52.0%,130.14
NSW,2018-19 Q1 (Sep Qtr),Total Operations,46.0%,100.28
NSW,2018-19 Q1 (Sep Qtr),Total Operations,48.7%,93.50
NSW,2018-19 Q1 (Sep Qtr),Total Operations,50.4%,96.15
NSW,2018-19 Q1 (Sep Qtr),Total Operations,59.7%,86.16
NSW,2018-19 Q1 (Sep Qtr),Total Operations,39.4%,67.34
Vic,2018-19 Q1 (Sep Qtr),Total Operations,31.4%,93.02
Vic,2018-19 Q1 (Sep Qtr),Total Operations,35.2%,112.13
Vic,2018-19 Q1 (Sep Qtr),Total Operations,25.6%,93.83
Vic,2018-19 Q1 (Sep Qtr),Total Operations,32.6%,99.90
Vic,2018-19 Q1 (Sep Qtr),Total Operations,38.1%,88.05
Vic,2018-19 Q1 (Sep Qtr),Total Operations,33.0%,74.80
Vic,2018-19 Q1 (Sep Qtr),Total Operations,29.7%,72.58
Qld,2018-19 Q1 (Sep Qtr),Total Operations,51.7%,86.67
Qld,2018-19 Q1 (Sep Qtr),Total Operations,47.4%,75.77
Qld,2018-19 Q1 (Sep Qtr),Total Operations,51.3%,88.19
Qld,2018-19 Q1 (Sep Qtr),Total Operations,56.2%,107.84
Qld,2018-19 Q1 (Sep Qtr),Total Operations,51.1%,82.69
Qld,2018-19 Q1 (Sep Qtr),Total Operations,42.8%,87.27
Qld,2018-19 Q1 (Sep Qtr),Total Operations,53.2%,89.79
Qld,2018-19 Q1 (Sep Qtr),Total Operations,53.1%,87.22
SA,2018-19 Q1 (Sep Qtr),Total Operations,34.6%,60.21
SA,2018-19 Q1 (Sep Qtr),Total Operations,32.8%,62.71
SA,2018-19 Q1 (Sep Qtr),Total Operations,38.8%,54.70
WA,2018-19 Q1 (Sep Qtr),Total Operations,34.5%,82.33
WA,2018-19 Q1 (Sep Qtr),Total Operations,33.2%,85.14
WA,2018-19 Q1 (Sep Qtr),Total Operations,35.3%,83.66
WA,2018-19 Q1 (Sep Qtr),Total Operations,35.8%,74.28
Tas,2018-19 Q1 (Sep Qtr),Total Operations,29.0%,54.03
Tas,2018-19 Q1 (Sep Qtr),Total Operations,29.0%,54.03
NT,2018-19 Q1 (Sep Qtr),Total Operations,49.7%,81.90
NT,2018-19 Q1 (Sep Qtr),Total Operations,49.7%,81.90
ACT,2018-19 Q1 (Sep Qtr),Total Operations,25.2%,124.17
ACT,2018-19 Q1 (Sep Qtr),Total Operations,25.2%,124.17
Unk,2018-19 Q1 (Sep Qtr),Total Operations,33.3%,87.30
Unk,2018-19 Q1 (Sep Qtr),Total Operations,33.3%,87.30
Australia,2018-19 Q1 (Sep Qtr),Optometry,94.4%,26.59
NSW,2018-19 Q1 (Sep Qtr),Optometry,95.0%,26.05
NSW,2018-19 Q1 (Sep Qtr),Optometry,94.3%,28.10
NSW,2018-19 Q1 (Sep Qtr),Optometry,92.3%,26.36
NSW,2018-19 Q1 (Sep Qtr),Optometry,97.4%,31.46
NSW,2018-19 Q1 (Sep Qtr),Optometry,93.5%,27.68
NSW,2018-19 Q1 (Sep Qtr),Optometry,97.2%,26.72
NSW,2018-19 Q1 (Sep Qtr),Optometry,95.4%,19.46
NSW,2018-19 Q1 (Sep Qtr),Optometry,97.8%,22.26
NSW,2018-19 Q1 (Sep Qtr),Optometry,96.2%,31.83
NSW,2018-19 Q1 (Sep Qtr),Optometry,90.2%,20.65
NSW,2018-19 Q1 (Sep Qtr),Optometry,93.7%,19.90
Vic,2018-19 Q1 (Sep Qtr),Optometry,93.4%,26.59
Vic,2018-19 Q1 (Sep Qtr),Optometry,95.2%,24.81
Vic,2018-19 Q1 (Sep Qtr),Optometry,93.0%,31.62
Vic,2018-19 Q1 (Sep Qtr),Optometry,92.7%,27.08
Vic,2018-19 Q1 (Sep Qtr),Optometry,85.0%,20.21
Vic,2018-19 Q1 (Sep Qtr),Optometry,93.5%,27.09
Vic,2018-19 Q1 (Sep Qtr),Optometry,96.1%,21.69
Qld,2018-19 Q1 (Sep Qtr),Optometry,94.5%,25.97
Qld,2018-19 Q1 (Sep Qtr),Optometry,93.2%,22.45
Qld,2018-19 Q1 (Sep Qtr),Optometry,95.3%,26.88
Qld,2018-19 Q1 (Sep Qtr),Optometry,97.5%,37.78
Qld,2018-19 Q1 (Sep Qtr),Optometry,91.0%,24.34
Qld,2018-19 Q1 (Sep Qtr),Optometry,95.2%,31.80
Qld,2018-19 Q1 (Sep Qtr),Optometry,94.6%,19.05
Qld,2018-19 Q1 (Sep Qtr),Optometry,95.4%,41.02
SA,2018-19 Q1 (Sep Qtr),Optometry,95.7%,27.52
SA,2018-19 Q1 (Sep Qtr),Optometry,96.0%,27.44
SA,2018-19 Q1 (Sep Qtr),Optometry,95.0%,27.68
WA,2018-19 Q1 (Sep Qtr),Optometry,94.8%,27.58
WA,2018-19 Q1 (Sep Qtr),Optometry,94.4%,31.07
WA,2018-19 Q1 (Sep Qtr),Optometry,96.2%,26.81
WA,2018-19 Q1 (Sep Qtr),Optometry,93.0%,21.96
Tas,2018-19 Q1 (Sep Qtr),Optometry,93.9%,19.04
Tas,2018-19 Q1 (Sep Qtr),Optometry,93.9%,19.04
NT,2018-19 Q1 (Sep Qtr),Optometry,95.6%,28.65
NT,2018-19 Q1 (Sep Qtr),Optometry,95.6%,28.65
ACT,2018-19 Q1 (Sep Qtr),Optometry,88.2%,35.74
ACT,2018-19 Q1 (Sep Qtr),Optometry,88.2%,35.74
Unk,2018-19 Q1 (Sep Qtr),Optometry,83.3%,32.78
Unk,2018-19 Q1 (Sep Qtr),Optometry,83.3%,32.78
Australia,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,73.9%,52.68
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,78.6%,53.72
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,69.7%,57.63
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,55.8%,63.76
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,86.0%,63.58
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,93.7%,55.68
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,90.1%,52.09
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,95.9%,71.76
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,87.5%,50.15
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,80.1%,49.99
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,84.4%,58.12
NSW,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,43.9%,15.77
Vic,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,73.4%,49.50
Vic,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,75.0%,54.36
Vic,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,61.9%,47.18
Vic,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,60.7%,48.29
Vic,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,87.7%,50.86
Vic,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,87.9%,53.15
Vic,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,95.4%,49.70
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,69.1%,48.88
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,63.5%,70.80
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,74.3%,43.36
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,62.7%,51.65
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,43.9%,29.14
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,64.2%,39.28
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,73.8%,53.39
Qld,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,87.4%,29.16
SA,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,54.5%,54.79
SA,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,52.8%,54.42
SA,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,58.5%,55.79
WA,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,75.1%,64.43
WA,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,56.1%,64.62
WA,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,87.8%,65.60
WA,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,86.2%,61.56
Tas,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,92.3%,21.51
Tas,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,92.3%,21.51
NT,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,93.9%,88.51
NT,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,93.9%,88.51
ACT,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,92.7%,78.99
ACT,2018-19 Q1 (Sep Qtr),Radiotherapy and Therapeutic Nuclear Medicine,92.7%,78.99
Australia,2018-19 Q1 (Sep Qtr),Other MBS Services,60.3%,114.04
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,63.5%,116.05
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,60.8%,156.08
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,47.0%,123.13
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,72.1%,141.05
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,69.6%,139.53
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,74.3%,111.37
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,68.0%,91.92
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,68.1%,78.28
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,63.6%,95.98
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,61.2%,72.24
NSW,2018-19 Q1 (Sep Qtr),Other MBS Services,53.1%,63.99
Vic,2018-19 Q1 (Sep Qtr),Other MBS Services,61.8%,139.63
Vic,2018-19 Q1 (Sep Qtr),Other MBS Services,69.3%,212.22
Vic,2018-19 Q1 (Sep Qtr),Other MBS Services,57.5%,138.33
Vic,2018-19 Q1 (Sep Qtr),Other MBS Services,57.8%,135.97
Vic,2018-19 Q1 (Sep Qtr),Other MBS Services,70.0%,95.42
Vic,2018-19 Q1 (Sep Qtr),Other MBS Services,64.5%,77.79
Vic,2018-19 Q1 (Sep Qtr),Other MBS Services,59.5%,105.25
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,55.1%,102.49
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,53.5%,112.43
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,53.8%,109.22
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,54.8%,101.82
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,52.2%,90.19
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,59.2%,123.62
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,58.1%,88.14
Qld,2018-19 Q1 (Sep Qtr),Other MBS Services,57.7%,103.82
SA,2018-19 Q1 (Sep Qtr),Other MBS Services,55.2%,82.26
SA,2018-19 Q1 (Sep Qtr),Other MBS Services,53.5%,85.80
SA,2018-19 Q1 (Sep Qtr),Other MBS Services,59.4%,73.01
WA,2018-19 Q1 (Sep Qtr),Other MBS Services,58.9%,102.00
WA,2018-19 Q1 (Sep Qtr),Other MBS Services,58.6%,105.40
WA,2018-19 Q1 (Sep Qtr),Other MBS Services,58.9%,101.68
WA,2018-19 Q1 (Sep Qtr),Other MBS Services,60.0%,93.88
Tas,2018-19 Q1 (Sep Qtr),Other MBS Services,64.6%,70.12
Tas,2018-19 Q1 (Sep Qtr),Other MBS Services,64.6%,70.12
NT,2018-19 Q1 (Sep Qtr),Other MBS Services,78.1%,309.96
NT,2018-19 Q1 (Sep Qtr),Other MBS Services,78.1%,309.96
ACT,2018-19 Q1 (Sep Qtr),Other MBS Services,59.1%,144.08
ACT,2018-19 Q1 (Sep Qtr),Other MBS Services,59.1%,144.08
Unk,2018-19 Q1 (Sep Qtr),Other MBS Services,72.7%,62.72
Unk,2018-19 Q1 (Sep Qtr),Other MBS Services,72.7%,62.72
Australia,2017-18 Q4 (Jun Qtr),Total Medicare,79.6%,66.49
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,80.5%,72.56
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,78.4%,85.78
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,68.8%,79.16
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,87.7%,88.42
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,85.0%,74.92
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,88.2%,80.08
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,80.1%,61.96
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,83.0%,60.35
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,78.7%,59.09
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,80.9%,53.23
NSW,2017-18 Q4 (Jun Qtr),Total Medicare,77.3%,56.99
Vic,2017-18 Q4 (Jun Qtr),Total Medicare,79.0%,65.29
Vic,2017-18 Q4 (Jun Qtr),Total Medicare,84.2%,73.54
Vic,2017-18 Q4 (Jun Qtr),Total Medicare,76.0%,66.92
Vic,2017-18 Q4 (Jun Qtr),Total Medicare,76.4%,68.76
Vic,2017-18 Q4 (Jun Qtr),Total Medicare,81.7%,53.65
Vic,2017-18 Q4 (Jun Qtr),Total Medicare,78.8%,50.03
Vic,2017-18 Q4 (Jun Qtr),Total Medicare,77.4%,56.07
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,79.8%,63.21
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,76.6%,64.77
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,79.9%,67.90
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,81.7%,66.42
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,81.0%,58.90
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,82.9%,66.63
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,80.2%,57.86
Qld,2017-18 Q4 (Jun Qtr),Total Medicare,81.2%,59.20
SA,2017-18 Q4 (Jun Qtr),Total Medicare,79.6%,55.09
SA,2017-18 Q4 (Jun Qtr),Total Medicare,79.6%,56.62
SA,2017-18 Q4 (Jun Qtr),Total Medicare,79.7%,51.45
WA,2017-18 Q4 (Jun Qtr),Total Medicare,78.5%,67.85
WA,2017-18 Q4 (Jun Qtr),Total Medicare,76.4%,69.19
WA,2017-18 Q4 (Jun Qtr),Total Medicare,80.1%,69.15
WA,2017-18 Q4 (Jun Qtr),Total Medicare,79.9%,62.13
Tas,2017-18 Q4 (Jun Qtr),Total Medicare,76.3%,52.16
Tas,2017-18 Q4 (Jun Qtr),Total Medicare,76.3%,52.16
NT,2017-18 Q4 (Jun Qtr),Total Medicare,89.5%,75.65
NT,2017-18 Q4 (Jun Qtr),Total Medicare,89.5%,75.65
ACT,2017-18 Q4 (Jun Qtr),Total Medicare,69.8%,70.36
ACT,2017-18 Q4 (Jun Qtr),Total Medicare,69.8%,70.36
Unk,2017-18 Q4 (Jun Qtr),Total Medicare,76.1%,48.09
Unk,2017-18 Q4 (Jun Qtr),Total Medicare,76.1%,48.09
Australia,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,86.8%,38.66
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,89.4%,37.97
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,88.6%,42.40
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,78.0%,42.39
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,96.9%,37.59
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,94.1%,33.24
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,96.6%,32.67
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,87.1%,35.53
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,89.8%,34.33
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,85.6%,35.48
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,87.6%,34.60
NSW,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,84.9%,32.75
Vic,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,86.0%,38.64
Vic,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,90.8%,39.33
Vic,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,85.0%,39.02
Vic,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,84.0%,42.19
Vic,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,86.1%,35.16
Vic,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,82.0%,31.82
Vic,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,83.2%,36.12
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,86.7%,39.17
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,82.6%,39.08
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,87.7%,40.60
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,90.9%,41.96
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,89.6%,37.83
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,87.4%,36.36
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,86.7%,37.49
Qld,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,84.0%,38.60
SA,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,85.8%,33.50
SA,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,86.8%,33.78
SA,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,83.0%,32.92
WA,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,85.2%,40.31
WA,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,83.2%,40.21
WA,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,88.4%,39.83
WA,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,82.7%,41.23
Tas,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,78.0%,38.80
Tas,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,78.0%,38.80
NT,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,90.1%,47.72
NT,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,90.1%,47.72
ACT,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,66.0%,45.72
ACT,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,66.0%,45.72
Unk,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,72.7%,33.44
Unk,2017-18 Q4 (Jun Qtr),Total GP Non-Referred Attendances,72.7%,33.44
Australia,2017-18 Q4 (Jun Qtr),Practice Nurse,99.6%,4.64
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.7%,6.68
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.7%,36.66
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,98.5%,5.01
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.8%,5.39
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.7%,1.93
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.4%,0.23
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.8%,4.23
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,100.0%,0.00
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.8%,2.11
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.9%,4.95
NSW,2017-18 Q4 (Jun Qtr),Practice Nurse,99.8%,1.00
Vic,2017-18 Q4 (Jun Qtr),Practice Nurse,99.6%,5.46
Vic,2017-18 Q4 (Jun Qtr),Practice Nurse,99.8%,3.64
Vic,2017-18 Q4 (Jun Qtr),Practice Nurse,99.8%,4.27
Vic,2017-18 Q4 (Jun Qtr),Practice Nurse,99.6%,11.64
Vic,2017-18 Q4 (Jun Qtr),Practice Nurse,99.9%,5.33
Vic,2017-18 Q4 (Jun Qtr),Practice Nurse,99.4%,0.60
Vic,2017-18 Q4 (Jun Qtr),Practice Nurse,98.9%,5.17
Qld,2017-18 Q4 (Jun Qtr),Practice Nurse,99.6%,7.62
Qld,2017-18 Q4 (Jun Qtr),Practice Nurse,99.8%,15.59
Qld,2017-18 Q4 (Jun Qtr),Practice Nurse,99.9%,2.04
Qld,2017-18 Q4 (Jun Qtr),Practice Nurse,99.6%,0.00
